IDENTITY,NAME,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
00162,Mareli Woods,b,b,d,c,b,d,c,c,c,d,c
01807,Chanel Browning,a,a,b,c,d,c,a,c,c,a,d
01889,Addison Rowe,c,a,c,a,b,c,c,b,d,a,d
02648,Kaylyn Montes,a,a,d,b,b,a,b,d,a,b,d
02658,Maximillian Wall,d,c,c,a,a,c,d,c,b,d,d
03310,Caroline Stephenson,b,c,c,a,b,c,a,c,b,c,a
05557,Amya Hensley,d,b,d,a,a,c,d,c,c,a,c
06003,Daniella Edwards,a,b,a,c,a,a,c,c,a,c,c
07070,Lexi Gross,d,a,d,d,a,c,d,d,d,c,a
07751,Payten Richard,d,c,a,c,d,a,a,d,d,a,c
08331,Shayna Myers,d,a,d,c,d,a,c,b,b,b,c
08593,Giancarlo Stanley,c,d,a,d,c,b,c,c,d,b,b
08736,Blaine Blevins,a,d,c,c,b,b,c,a,d,a,d
08772,Austin Munoz,b,b,b,c,d,a,c,a,b,c,c
09292,Denzel Holloway,c,b,a,b,a,a,a,c,d,b,c
10090,Deegan Galloway,b,d,c,b,a,b,d,a,b,d,c
10142,Braden Combs,c,d,d,b,a,d,d,b,d,c,a
10508,Allie Byrd,a,d,c,d,d,b,b,a,d,b,b
10582,Jeffrey Sellers,a,c,a,b,d,a,c,b,d,b,c
10888,Yuliana Parker,a,c,a,a,d,d,a,a,c,a,b
11882,Tania Cooper,a,d,b,a,c,d,b,a,a,b,d
12276,Ariel Spencer,b,c,c,c,b,c,b,b,b,b,a
12286,Trevin Duarte,a,a,b,d,c,b,b,c,b,b,a
12403,Jax Vazquez,b,b,b,d,c,c,c,a,a,d,d
12404,Louis Grant,d,c,d,b,b,c,a,c,c,d,c
12473,Kellen Gentry,d,d,a,b,d,b,b,c,d,d,d
12588,Jayden Herman,c,c,a,a,b,a,c,b,b,c,c
12698,Sophia Singh,b,d,b,c,b,d,c,d,d,d,a
13008,Abraham Huber,a,b,c,a,c,d,b,d,d,a,a
13088,Rayna Moss,a,d,d,a,b,b,d,a,d,a,d
13344,Sergio Rice,a,b,a,d,a,d,b,a,a,d,b
13389,Demetrius Graham,a,a,c,a,d,b,b,a,a,d,a
13423,Terrance Vance,c,d,b,a,d,d,c,a,c,b,d
13808,Jesse Conner,b,d,b,c,d,c,d,c,b,a,a
13994,Alfredo Brennan,c,b,d,b,d,d,c,c,a,c,d
14348,Kierra Sexton,b,c,d,b,a,c,c,b,d,d,b
14363,Piper Powers,d,b,a,b,a,c,c,c,a,a,c
14453,Dahlia Mcmahon,a,d,b,b,c,d,b,c,c,a,c
15081,Micah Bullock,d,a,d,d,b,b,b,a,a,d,d
15431,Yahir Parks,d,d,c,b,b,d,d,d,d,b,d
15500,Dane Braun,b,c,c,a,a,a,a,d,c,c,b
15780,Maxim Dougherty,b,a,b,d,c,b,a,c,d,b,d
15924,Kenley Wheeler,d,a,a,c,a,a,b,b,c,b,c
16558,Riley Hebert,d,b,b,d,c,d,a,d,c,d,d
17203,Roberto Dudley,b,d,b,b,d,c,d,d,d,c,d
17402,Kyan Small,b,a,b,a,d,c,a,c,c,b,a
18126,Paula Mcbride,a,b,a,c,c,a,c,a,d,b,c
18233,Jaxson Barr,a,b,c,d,a,b,b,b,c,d,a
18401,Phoenix Lara,d,a,a,c,c,a,a,a,a,c,b
18512,Jaylee Ritter,b,c,a,b,c,a,b,b,b,d,a
18589,Jovani Tran,c,a,a,a,c,a,c,c,a,a,a
19336,Sanaa Rodriguez,a,b,d,d,a,d,c,a,a,c,c
19367,Selina Rhodes,c,c,b,d,b,d,b,a,b,d,a
